EP, 10, 2011100418,   , BEST,   0,  93N, 1001W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 10, 2011100500,   , BEST,   0,  94N, 1011W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 10, 2011100506,   , BEST,   0,  94N, 1021W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 
EP, 10, 2011100512,   , BEST,   0,  95N, 1029W,  25, 1009, DB,   0,    ,    0,    0,    0,    0, 1011,  175,  60,   0,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 10, 2011100518,   , BEST,   0,  97N, 1037W,  30, 1006, DB,   0,    ,    0,    0,    0,    0, 1010,  210,  50,   0,   0,   E,   0,    ,   0,   0,     INVEST, M, 
EP, 10, 2011100600,   , BEST,   0, 100N, 1046W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  200,  50,  40,   0,   E,   0,    ,   0,   0,        TEN, M, 
EP, 10, 2011100606,   , BEST,   0, 112N, 1055W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  180,  50,  40,   0,   E,   0,    ,   0,   0,        TEN, M, 
EP, 10, 2011100612,   , BEST,   0, 118N, 1063W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  180,  40,  40,   0,   E,   0,    ,   0,   0,        TEN, M, 
EP, 10, 2011100618,   , BEST,   0, 123N, 1072W,  35, 1004, TS,  34, NEQ,    0,    0,   40,   40, 1008,  150,  40,  45,   0,   E,   0,    ,   0,   0,        TEN, M, 12, NEQ,    0,   90,    0,    0
EP, 10, 2011100700,   , BEST,   0, 126N, 1082W,  40, 1002, TS,  34, NEQ,    0,    0,   40,   40, 1008,  150,  40,  50,   0,   E,   0,    ,   0,   0,       JOVA, M, 12, NEQ,    0,  120,   30,   30
EP, 10, 2011100706,   , BEST,   0, 129N, 1092W,  45, 1000, TS,  34, NEQ,   45,   30,   45,   60, 1009,  165,  40,  55,   0,   E,   0,    ,   0,   0,       JOVA, M, 12, NEQ,  120,  150,   60,   30
EP, 10, 2011100712,   , BEST,   0, 135N, 1100W,  50,  999, TS,  34, NEQ,   45,   45,   45,   60, 1009,  165,  20,  60,   0,   E,   0,    ,   0,   0,       JOVA, M, 12, NEQ,  120,  150,   90,   60
EP, 10, 2011100712,   , BEST,   0, 135N, 1100W,  50,  999, TS,  50, NEQ,   20,   20,    0,    0, 1009,  165,  20,  60,   0,   E,   0,    ,   0,   0,       JOVA, M, 12, NEQ,  120,  150,   90,   60
EP, 10, 2011100718,   , BEST,   0, 143N, 1104W,  55,  997, TS,  34, NEQ,   60,   90,   90,   20, 1010,  180,  20,  65,   0,   E,   0,    ,   0,   0,       JOVA, M, 12, NEQ,  150,  150,   90,   60
EP, 10, 2011100718,   , BEST,   0, 143N, 1104W,  55,  997, TS,  50, NEQ,   30,   45,    0,    0, 1010,  180,  20,  65,   0,   E,   0,    ,   0,   0,       JOVA, M, 12, NEQ,  150,  150,   90,   60
EP, 10, 2011100800,   , BEST,   0, 151N, 1105W,  55,  997, TS,  34, NEQ,   60,   90,   90,   20, 1010,  180,  20,  65,   0,   E,   0,    ,   0,   0,       JOVA, M, 12, NEQ,  180,  180,  120,   75
EP, 10, 2011100800,   , BEST,   0, 151N, 1105W,  55,  997, TS,  50, NEQ,   30,   45,    0,    0, 1010,  180,  20,  65,   0,   E,   0,    ,   0,   0,       JOVA, M, 12, NEQ,  180,  180,  120,   75
EP, 10, 2011100806,   , BEST,   0, 156N, 1105W,  55,  996, TS,  34, NEQ,   60,   90,   90,   20, 1010,  165,  20,  65,   0,   E,   0,    ,   0,   0,       JOVA, M, 12, NEQ,  210,  240,  180,   75
EP, 10, 2011100806,   , BEST,   0, 156N, 1105W,  55,  996, TS,  50, NEQ,   30,   45,    0,    0, 1010,  165,  20,  65,   0,   E,   0,    ,   0,   0,       JOVA, M, 12, NEQ,  210,  240,  180,   75
