EP, 18, 2019101700, 03, AP02,  42, 111N, 1259W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP02,  48, 115N, 1252W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP02,  54, 117N, 1248W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP02,  60, 118N, 1245W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP02,  66, 112N, 1242W,  12, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,   0, 113N, 1256W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,   6, 109N, 1260W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,  12, 106N, 1268W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,  18, 103N, 1276W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,  24, 101N, 1282W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,  30, 102N, 1286W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,  36, 104N, 1290W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,  42, 107N, 1292W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,  48, 112N, 1294W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,  54, 114N, 1297W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,  60, 119N, 1298W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,  66, 122N, 1300W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,  72, 125N, 1302W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2019101700, 03, AP03,  78, 125N, 1308W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
